config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c41	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.1,0.1,0.1	70000
c42	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.2,0.2,0.2	70000
c43	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.3,0.3,0.3	70000
c44	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.4,0.4,0.4	70000
c45	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.5,0.5,0.5	70000
c46	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.6,0.6,0.6	70000
c47	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.7,0.7,0.7	70000
c48	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.8,0.8,0.8	70000
c49	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.32,0.16,0.16	-1.0142857142857145,-0.11000000000000001,0.2599999999999999	1.0142857142857145,0.31000000000000005,0.89	6,3,4	-1.456,0.9786666666666666,-0.33199999999999996	1.456,1.4213333333333333,0.33199999999999996	9,3,4	0.9,0.9,0.9	70000
c50	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.36,0.16,0.16	-0.9733333333333334,-0.11000000000000001,0.2599999999999999	0.9733333333333334,0.31000000000000005,0.89	5,3,4	-1.395,0.9786666666666666,-0.33199999999999996	1.395,1.4213333333333333,0.33199999999999996	7,3,4	0.0,0.0,0.0	70000
