config	experiment	group	mazeFile	numStartingPositions	pc_files	traces	numEpisodes	numObstacles	run_id
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	69
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	70
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	71
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	72
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	73
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	74
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	75
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	76
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	77
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	78
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	79
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	80
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	81
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	82
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	83
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	84
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	85
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	86
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	87
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	88
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	89
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	90
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	91
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	92
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	93
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	94
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	95
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	96
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	97
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	98
c13	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M203.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	99
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	0
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	1
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	2
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	3
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	4
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	5
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	6
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	7
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	8
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	9
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	10
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	11
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	12
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	13
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	14
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	15
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	16
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	17
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	18
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	19
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	20
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	21
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	22
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	23
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	24
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	25
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	26
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	27
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	28
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	29
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	30
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	31
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	32
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	33
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	34
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	35
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	36
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	37
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	38
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	39
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	40
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	41
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	42
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	43
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	44
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	45
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	46
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	47
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	48
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	49
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	50
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	51
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	52
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	53
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	54
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	55
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	56
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	57
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	58
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	59
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	60
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	61
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	62
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	63
c14	experiments/setups/experiment_1.xml	g1	experiments/mazes/obstacles/M204.xml	4	experiments/pc_layers/u08.csv	0.8	40000	20	64
